0; 1 2 3, 4 5 6, 7 8 9, 10 11 12, 13 14 15, 16 17 18, 19 20 21, 22 23 24, 25 26 27
1; 0 4 7, 2 12 21, 3 15 25, 5 14 26, 6 9 24, 8 16 19, 10 17 22, 11 20 27, 13 18 23
2; 0 12 20, 1 5 13, 3 4 22, 6 9 24, 7 16 25, 8 18 21, 10 14 27, 11 23 26, 15 17 19
3; 0 2 18, 1 9 22, 4 17 26, 5 16 20, 6 21 23, 7 19 24, 8 11 15, 10 14 27, 12 13 25
4; 0 12 20, 1 24 27, 2 19 26, 3 10 16, 5 8 22, 6 14 25, 7 15 21, 9 11 17, 13 18 23
5; 0 6 15, 1 16 23, 2 19 26, 3 7 12, 4 13 27, 8 18 21, 9 20 25, 10 17 22, 11 14 24
6; 0 21 26, 1 2 3, 4 12 14, 5 16 20, 7 10 23, 8 13 24, 9 11 17, 15 18 27, 19 22 25
7; 0 3 23, 1 11 21, 2 4 9, 5 18 24, 6 17 20, 8 16 19, 10 14 27, 12 13 25, 15 22 26
8; 0 2 18, 1 12 17, 3 20 24, 4 5 6, 7 15 21, 9 13 16, 10 14 27, 11 23 26, 19 22 25
9; 0 11 22, 1 5 13, 2 15 24, 3 6 18, 4 17 26, 7 16 25, 8 12 23, 10 14 27, 19 20 21
10; 0 8 27, 1 7 26, 2 6 22, 3 20 24, 4 16 21, 5 15 23, 9 11 17, 12 13 25, 14 18 19
11; 0 14 16, 1 5 13, 2 6 22, 3 7 12, 4 8 25, 9 18 26, 10 15 20, 17 21 24, 19 23 27
12; 0 21 26, 1 14 20, 2 15 24, 3 4 22, 5 11 25, 6 10 13, 7 8 9, 16 17 18, 19 23 27
13; 0 11 22, 1 24 27, 2 14 23, 3 10 16, 4 8 25, 5 12 19, 6 17 20, 7 15 21, 9 18 26
14; 0 6 15, 1 12 17, 2 7 27, 3 11 19, 4 16 21, 5 8 22, 9 20 25, 10 24 26, 13 18 23
15; 0 2 18, 1 6 19, 3 7 12, 4 20 23, 5 14 26, 8 13 24, 9 11 17, 10 21 25, 16 22 27
16; 0 6 15, 1 12 17, 2 4 9, 3 13 26, 5 8 22, 7 18 20, 10 21 25, 11 14 24, 19 23 27
17; 0 2 18, 1 14 20, 3 13 26, 4 10 19, 5 11 25, 6 9 24, 7 15 21, 8 12 23, 16 22 27
18; 0 24 25, 1 8 10, 2 13 20, 3 7 12, 4 5 6, 9 14 21, 11 23 26, 15 17 19, 16 22 27
19; 0 21 26, 1 24 27, 2 13 20, 3 4 22, 5 15 23, 6 14 25, 7 8 9, 10 11 12, 16 17 18
20; 0 24 25, 1 11 21, 2 4 9, 3 7 12, 5 8 22, 6 16 26, 10 14 27, 13 18 23, 15 17 19
21; 0 9 10, 1 6 19, 2 7 27, 3 4 22, 5 15 23, 8 20 26, 11 14 24, 12 13 25, 16 17 18
22; 0 24 25, 1 8 10, 2 14 23, 3 6 18, 4 17 26, 5 12 19, 7 15 21, 9 13 16, 11 20 27
23; 0 21 26, 1 6 19, 2 8 17, 3 5 9, 4 13 27, 7 16 25, 10 15 20, 11 14 24, 12 18 22
24; 0 11 22, 1 7 26, 2 13 20, 3 8 14, 4 5 6, 9 12 15, 10 21 25, 16 17 18, 19 23 27
25; 0 6 15, 1 8 10, 2 7 27, 3 11 19, 4 20 23, 5 14 26, 9 13 16, 12 18 22, 17 21 24
26; 0 12 20, 1 9 22, 2 5 10, 3 17 27, 4 16 21, 6 14 25, 7 19 24, 8 11 15, 13 18 23
27; 0 3 23, 1 18 25, 2 19 26, 4 12 14, 5 8 22, 6 7 11, 9 13 16, 10 15 20, 17 21 24
