0; 1 2 3, 4 14 15, 5 6 7, 8 9 10, 11 12 13
1; 0 4 5, 2 12 15, 3 7 11, 6 13 14, 8 9 10
2; 0 8 15, 1 9 14, 3 4 10, 5 6 7, 11 12 13
3; 0 7 14, 1 6 10, 2 12 15, 4 9 11, 5 8 13
4; 0 8 15, 1 7 13, 2 5 11, 3 6 9, 10 12 14
5; 0 9 13, 1 2 3, 4 7 8, 6 11 15, 10 12 14
6; 0 4 5, 1 8 11, 2 7 9, 3 13 15, 10 12 14
7; 0 4 5, 1 9 14, 2 10 13, 3 8 12, 6 11 15
8; 0 9 13, 1 5 15, 2 4 6, 3 7 11, 10 12 14
9; 0 10 11, 1 4 12, 2 8 14, 3 13 15, 5 6 7
10; 0 6 12, 1 9 14, 2 5 11, 3 13 15, 4 7 8
11; 0 9 13, 1 6 10, 2 12 15, 3 5 14, 4 7 8
12; 0 9 13, 1 8 11, 2 4 6, 3 5 14, 7 10 15
13; 0 8 15, 1 2 3, 4 9 11, 5 6 7, 10 12 14
14; 0 9 13, 1 8 11, 2 12 15, 3 4 10, 5 6 7
15; 0 10 11, 1 2 3, 4 7 8, 5 9 12, 6 13 14
