0; 1 2 3, 4 5 6, 7 8 9, 10 11 12, 13 14 15
1; 0 4 7, 2 8 11, 3 5 15, 6 10 14, 9 12 13
2; 0 12 15, 1 4 9, 3 8 13, 5 7 11, 6 10 14
3; 0 2 10, 1 4 9, 5 7 11, 6 8 12, 13 14 15
4; 0 11 13, 1 8 10, 2 5 12, 3 7 14, 6 9 15
5; 0 2 10, 1 7 12, 3 8 13, 4 11 14, 6 9 15
6; 0 1 14, 2 4 13, 3 5 15, 7 8 9, 10 11 12
7; 0 1 14, 2 8 11, 3 4 12, 5 10 13, 6 9 15
8; 0 4 7, 1 6 13, 2 9 14, 3 5 15, 10 11 12
9; 0 4 7, 1 11 15, 2 5 12, 3 8 13, 6 10 14
10; 0 5 9, 1 11 15, 2 4 13, 3 7 14, 6 8 12
11; 0 5 9, 1 8 10, 2 6 7, 3 4 12, 13 14 15
12; 0 2 10, 1 6 13, 3 5 15, 4 11 14, 7 8 9
13; 0 5 9, 1 2 3, 4 11 14, 6 8 12, 7 10 15
14; 0 5 9, 1 6 13, 2 8 11, 3 4 12, 7 10 15
15; 0 1 14, 2 4 13, 3 9 10, 5 7 11, 6 8 12
